# Добавить сюда своих вопросов. Эту строку надо пропустить при настройке CsvToBean (withSkipLines)
Есть ли жизнь на Марсе?;Наука пока не знает этого%true|Конечно. Красная НЛО прилетела с Марса. А зеленая - с Венеры%false|Абсолютно нет%false
Каким образом ресурсы должны быть загружены из JAR в Java?;ClassLoader#geResourceAsStream или ClassPathResource#getInputStream%true|ClassLoader#geResource#getFile + FileReader%false|Wingardium Leviosa%false
Какой вариант является хорошим способом обработки исключения?;@SneakyThrow%false|e.printStackTrace()%false|Перебросить с оберткой в бизнес-исключение (например, QuestionReadException)%true|Игнорировать исключение%false
Какая столица Франции?;Париж%true|Лондон%false|Берлин%false
Кто написал картину "Мона Лиза"?;Леонардо да Винчи%true|Пабло Пикассо%false|Винсент Ван Гог%false
Какая планета является самой большой в нашей солнечной системе?;Юпитер%true|Марс%false|Сатурн%false
Кто написал пьесу "Ромео и Джульетта"?;Уильям Шекспир%true|Федор Достоевский%false|Джейн Остин%false
Какой химический символ у золота?;Au%true|Ag%false|Fe%false
Какая страна известна своей Великой Китайской стеной?;Китай%true|Индия%false|Бразилия%false
Кто открыл пенициллин?;Александр Флеминг%true|Мария Кюри%false|Альберт Эйнштейн%false
Какая самая высокая гора в мире?;Эверест%true|Килиманджаро%false|Фудзияма%false
Какое животное известно своими черно-белыми полосами?;Зебра%true|Жираф%false|Слон%false
Какая столица России?;Москва%true|Санкт-Петербург%false|Киев%false
Кто написал роман "Война и мир"?;Лев Толстой%true|Федор Достоевский%false|Антон Чехов%false
Какой самый большой океан в мире?;Тихий океан%true|Атлантический океан%false|Индийский океан%false
Какая планета известна как "Красная планета"?;Марс%true|Венера%false|Меркурий%false
Кто написал картину "Звездная ночь"?;Винсент Ван Гог%true|Пабло Пикассо%false|Клод Моне%false
Какой химический символ у кислорода?;O%true|H%false|C%false
Какая страна известна своими пирамидами?;Египет%true|Мексика%false|Греция%false
Кто является автором "Гордости и предубеждения"?;Джейн Остин%true|Эмили Бронте%false|Шарлотта Бронте%false
Какой самый высокий водопад в мире?;Анхельский водопад%true|Ниагарский водопад%false|Виктория водопад%false
Какое животное известно своей длинной шеей?;Жираф%true|Бегемот%false|Кенгуру%false
Какая валюта в Японии?;Японская йена%true|Китайский юань%false|Евро%false
Кто является основателем Microsoft?;Билл Гейтс%true|Стив Джобс%false|Марк Цукерберг%false
Какая самая большая пустыня в мире?;Сахара%true|Гоби%false|Атакама%false
Какая страна известна Тадж-Махалом?;Индия%true|Таиланд%false|Италия%false
Кто написал пьесу "Гамлет"?;Уильям Шекспир%true|Джордж Бернард Шоу%false|Оскар Уайльд%false
Какой химический символ у серебра?;Ag%true|Au%false|Pt%false
Какой город известен как "Вечный город"?;Рим%true|Афины%false|Париж%false
Кто открыл теорию относительности?;Альберт Эйнштейн%true|Исаак Ньютон%false|Галилео Галилей%false
Какая самая большая птица в мире?;Страус%true|Орел%false|Пингвин%false
