# Добавить сюда своих вопросов. Эту строку надо пропустить при настройке CsvToBean (withSkipLines)
Is there life on Mars?;Science doesn't know this yet%true|Certainly. The red UFO is from Mars. And green is from Venus%false|Absolutely not%false
How should resources be loaded form jar in Java?;ClassLoader#geResourceAsStream or ClassPathResource#getInputStream%true|ClassLoader#geResource#getFile + FileReader%false|Wingardium Leviosa%false
Which option is a good way to handle the exception?;@SneakyThrow%false|e.printStackTrace()%false|Rethrow with wrapping in business exception (for example, QuestionReadException)%true|Ignoring exception%false
What is the capital of France?;Paris%true|London%false|Berlin%false
Who painted the Mona Lisa?;Leonardo da Vinci%true|Pablo Picasso%false|Vincent van Gogh%false
What is the largest planet in our solar system?;Jupiter%true|Mars%false|Saturn%false
Who wrote the play "Romeo and Juliet"?;William Shakespeare%true|Fyodor Dostoevsky%false|Jane Austen%false
What is the chemical symbol for gold?;Au%true|Ag%false|Fe%false
Which country is famous for the Great Wall?;China%true|India%false|Brazil%false
Who discovered penicillin?;Alexander Fleming%true|Marie Curie%false|Albert Einstein%false
What is the tallest mountain in the world?;Mount Everest%true|Kilimanjaro%false|Mount Fuji%false
Which animal is known for its black and white stripes?;Zebra%true|Giraffe%false|Elephant%false
What is the capital of Russia?;Moscow%true|St. Petersburg%false|Kiev%false
Who wrote the novel "War and Peace"?;Leo Tolstoy%true|Fyodor Dostoevsky%false|Anton Chekhov%false
What is the largest ocean in the world?;Pacific Ocean%true|Atlantic Ocean%false|Indian Ocean%false
Which planet is known as the "Red Planet"?;Mars%true|Venus%false|Mercury%false
Who painted the "Starry Night"?;Vincent van Gogh%true|Pablo Picasso%false|Claude Monet%false
What is the chemical symbol for oxygen?;O%true|H%false|C%false
Which country is famous for the pyramids?;Egypt%true|Mexico%false|Greece%false
Who is the author of "Pride and Prejudice"?;Jane Austen%true|Emily Bronte%false|Charlotte Bronte%false
What is the tallest waterfall in the world?;Angel Falls%true|Niagara Falls%false|Victoria Falls%false
Which animal is known for its long neck?;Giraffe%true|Hippopotamus%false|Kangaroo%false
What is the currency of Japan?;Japanese yen%true|Chinese yuan%false|Euro%false
Who is the founder of Microsoft?;Bill Gates%true|Steve Jobs%false|Mark Zuckerberg%false
What is the largest desert in the world?;Sahara Desert%true|Gobi Desert%false|Atacama Desert%false
Which country is famous for the Taj Mahal?;India%true|Thailand%false|Italy%false
Who wrote the play "Hamlet"?;William Shakespeare%true|George Bernard Shaw%false|Oscar Wilde%false
What is the chemical symbol for silver?;Ag%true|Au%false|Pt%false
Which city is known as the "Eternal City"?;Rome%true|Athens%false|Paris%false
Who discovered the theory of relativity?;Albert Einstein%true|Isaac Newton%false|Galileo Galilei%false
What is the largest bird in the world?;Ostrich%true|Eagle%false|Penguin%false
Which instrument is known as the "king of instruments"?;Organ%true|Piano%false|Guitar%false
